категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
ОВОЩИ;Картофель;2.5974025974025974;0.12987012987012989;25.584415584415584;107.79220779220779;83.0;ГОТОВЫЙ ВИД
ОВОЩИ;Лук зеленый (перо);1.6883116883116884;0.0;5.584415584415584;28.57142857142857;22.0;ГОТОВЫЙ ВИД
ОВОЩИ;Лук порей;3.896103896103896;0.0;9.48051948051948;51.94805194805195;40.0;ГОТОВЫЙ ВИД
ОВОЩИ;Лук репчатый;2.207792207792208;0.0;12.337662337662337;55.84415584415584;43.0;ГОТОВЫЙ ВИД
ОВОЩИ;Морковь красная;1.6883116883116884;0.12987012987012989;9.09090909090909;42.857142857142854;33.0;ГОТОВЫЙ ВИД
ОВОЩИ;Огурцы грунтовые;1.038961038961039;0.0;3.896103896103896;19.48051948051948;15.0;ГОТОВЫЙ ВИД
ОВОЩИ;Огурцы парниковые;0.9090909090909091;0.0;2.3376623376623376;12.987012987012987;10.0;ГОТОВЫЙ ВИД
ОВОЩИ;Перец зеленый сладкий;1.6883116883116884;0.0;6.103896103896104;29.87012987012987;23.0;ГОТОВЫЙ ВИД
ОВОЩИ;Перец красный сладкий;1.6883116883116884;0.0;7.402597402597403;35.064935064935064;27.0;ГОТОВЫЙ ВИД
ОВОЩИ;Петрушка (зелень);4.805194805194805;0.0;10.519480519480519;58.44155844155844;45.0;ГОТОВЫЙ ВИД
ОВОЩИ;Петрушка (корень);1.948051948051948;0.0;14.285714285714285;61.03896103896104;47.0;ГОТОВЫЙ ВИД
ОВОЩИ;Ревень (черешковый);0.9090909090909091;0.0;3.766233766233766;20.77922077922078;16.0;ГОТОВЫЙ ВИД
ОВОЩИ;Редис;1.5584415584415583;0.0;5.324675324675324;25.974025974025974;20.0;ГОТОВЫЙ ВИД
ОВОЩИ;Редька;2.4675324675324672;0.0;9.09090909090909;44.15584415584416;34.0;ГОТОВЫЙ ВИД
ОВОЩИ;Салат;1.948051948051948;0.0;2.857142857142857;18.18181818181818;14.0;ГОТОВЫЙ ВИД
ОВОЩИ;Свекла;2.207792207792208;0.0;14.025974025974026;62.33766233766234;48.0;ГОТОВЫЙ ВИД
ОВОЩИ;Томаты;0.7792207792207791;0.0;5.454545454545455;24.675324675324674;19.0;ГОТОВЫЙ ВИД
ОВОЩИ;Зеленая фасоль;5.194805194805195;0.0;5.584415584415584;41.55844155844156;32.0;ГОТОВЫЙ ВИД
ОВОЩИ;Черемша;3.1168831168831166;0.0;8.441558441558442;44.15584415584416;34.0;ГОТОВЫЙ ВИД
ОВОЩИ;Чеснок;8.441558441558442;0.0;27.532467532467532;137.66233766233765;106.0;ГОТОВЫЙ ВИД
ОВОЩИ;Шпинат;3.766233766233766;0.0;2.987012987012987;27.272727272727273;21.0;ГОТОВЫЙ ВИД
ОВОЩИ;Щавель;1.948051948051948;0.0;6.883116883116883;36.36363636363636;28.0;ГОТОВЫЙ ВИД
ФРУКТЫ И ЯГОДЫ;Абрикосы;86.0;0.9;-;10.5;46.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Айва;87.5;0.6;-;8.9;38.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Алыча;89.0;0.2;-;7.4;34.0;СЫРОЙ ВИД
